index,word,pinyin,origin
1,的,de,
2,是,shì,
3,在,zài,
4,一,yī,
5,不,bù,
6,有,yǒu,外来
7,这,zhè,
8,个,gè,
9,上,shàng,
10,也,yě,
11,他,tā,
12,人,rén,
13,就,jiù,
14,对,duì,
15,说,shuō,
16,我,wǒ,
17,要,yào,
18,到,dào,
19,大,dà,
20,我们,wǒ men,
21,多,duō,
22,把,bǎ,
23,来,lái,
24,等,děng,
25,年,nián,
26,两,liǎng,
27,从,cóng,
28,而,ér,
29,能,néng,
30,又,yòu,
31,他们,tā men,
32,以,yǐ,
33,时,shí,
34,没有,méi yǒu,
35,会,huì,
36,之,zhī,
37,但,dàn,
38,三,sān,
39,被,bèi,
40,很,hěn,
41,下,xià,
42,自己,zì jǐ,
43,后,hòu,
44,中国,zhōng guó,
45,并,bìng,
46,使,shǐ,
47,向,xiàng,
48,已,yǐ,
49,出,chū,
50,用,yòng,
51,新,xīn,
52,所,suǒ,
53,里,lǐ,
54,给,gěi,
55,她,tā,
56,更,gèng,
57,次,cì,
58,最,zuì,
59,于,yú,
60,可以,kě yǐ,
61,可,kě,
62,去,qù,
63,由,yóu,
64,问题,wèn tí,
65,小,xiǎo,
66,工作,gōng zuò,
67,让,ràng,
68,其,qí,
69,你,nǐ,
70,这个,zhè ge,
71,生活,shēng huó,
72,起,qǐ,
73,这样,zhè yàng,
74,天,tiān,
75,它,tā,
76,高,gāo,
77,做,zuò,
78,家,jiā,
79,已经,yǐ jīng,
80,再,zài,
81,或,huò,
82,才,cái,
83,前,qián,
84,走,zǒu,
85,这些,zhè xiē,
86,一些,yī xiē,
87,却,què,
88,二,èr,
89,条,tiáo,
90,位,wèi,
91,起来,qǐ lái,
92,各,gè,
93,成,chéng,
94,什么,shén me,
95,元,yuán,日源
96,现在,xiàn zài,佛源
97,社会,shè huì,
98,比,bǐ,
99,同,tóng,
100,四,sì,
101,关系,guān xi,
102,名,míng,
103,想,xiǎng,
104,如,rú,
105,第一,dì yī,
106,因为,yīn wèi,
107,该,gāi,
108,开始,kāi shǐ,
109,许多,xǔ duō,
110,内,nèi,
111,时间,shí jiān,
112,人们,rén men,
113,今天,jīn tiān,
114,国家,guó jiā,
115,本,běn,
116,点,diǎn,
117,思想,sī xiǎng,
118,至,zhì,
119,此,cǐ,
120,一定,yī dìng,
121,如果,rú guǒ,
122,副,fù,
123,无,wú,佛源
124,张,zhāng,
125,同时,tóng shí,
126,需要,xū yào,
127,月,yuè,
128,则,zé,
129,重要,zhòng yào,日源
130,为了,wèi le,
131,日,rì,
132,老,lǎo,
133,就是,jiù shì,
134,作,zuò,
135,五,wǔ,
136,人民,rén mín,
137,事,shì,
138,认为,rèn wéi,
139,成为,chéng wéi,
140,像,xiàng,
141,北京,běi jīng,
142,历史,lì shǐ,
143,水,shuǐ,佛源;外来
144,方面,fāng miàn,
145,情况,qíng kuàng,
146,而且,ér qiě,
147,党,dǎng,
148,学生,xué sheng,
149,每,měi,
150,这里,zhè lǐ,
151,但是,dàn shì,
152,孩子,hái zi,
153,可能,kě néng,
154,发生,fā shēng,
155,必须,bì xū,
156,只有,zhǐ yǒu,
157,外,wài,
158,要求,yāo qiú,
159,全,quán,
160,发现,fā xiàn,
161,进行,jìn xíng,
162,特别,tè bié,
163,因,yīn,
164,岁,suì,
165,得到,dé dào,
166,件,jiàn,
167,文化,wén huà,
168,分,fēn,
169,便,biàn,
170,同志,tóng zhì,
171,发展,fā zhǎn,
172,即,jí,
173,日本,rì běn,外来
174,总,zǒng,
175,因此,yīn cǐ,
176,对于,duì yú,
177,领导,lǐng dǎo,
178,带,dài,
179,既,jì,
180,时候,shí hou,
181,钱,qián,
182,自,zì,
183,政府,zhèng fǔ,日源
184,吃,chī,
185,非,fēi,
186,决定,jué dìng,
187,进,jìn,
188,还是,hái shi,
189,受,shòu,
190,国,guó,
191,应该,yīng gāi,
192,近,jìn,
193,美,měi,
194,政治,zhèng zhì,
195,话,huà,
196,公司,gōng sī,
197,干部,gàn bù,外来
198,出现,chū xiàn,佛源
199,开,kāi,外来
200,一切,yī qiè,
201,研究,yán jiū,
202,认识,rèn shi,
203,写,xiě,
204,十分,shí fēn,
205,十,shí,
206,站,zhàn,外来
207,之间,zhī jiān,
208,问,wèn,
209,希望,xī wàng,
210,快,kuài,
211,虽然,suī rán,
212,相,xiāng,
213,美国,měi guó,
214,知道,zhī dào,
215,讲,jiǎng,
216,大家,dà jiā,
217,学校,xué xiào,
218,组织,zǔ zhī,日源
219,见,jiàn,
220,由于,yóu yú,
221,正在,zhèng zài,佛源
222,法,fǎ,佛源
223,表示,biǎo shì,佛源
224,一样,yī yàng,
225,活动,huó dòng,
226,如何,rú hé,
227,教育,jiào yù,
228,书,shū,
229,据,jù,
230,城市,chéng shì,
231,道,dào,
232,艺术,yì shù,
233,经济,jīng jì,
234,以及,yǐ jí,
235,部,bù,
236,影响,yǐng xiǎng,
237,太,tài,
238,其中,qí zhōng,
239,学,xué,
240,先生,xiān sheng,
241,完全,wán quán,
242,连,lián,
243,主要,zhǔ yào,日源
244,继续,jì xù,
245,头,tóu,
246,革命,gé mìng,
247,之后,zhī hòu,佛源
248,参加,cān jiā,
249,能够,néng gòu,
250,住,zhù,
251,上海,shàng hǎi,
252,经过,jīng guò,
253,非常,fēi cháng,佛源
254,低,dī,
255,甚至,shèn zhì,
256,听,tīng,外来
257,先,xiān,
258,一直,yī zhí,
259,学习,xué xí,
260,仍,réng,
261,办,bàn,
262,所以,suǒ yǐ,
263,代表,dài biǎo,
264,变,biàn,
265,最后,zuì hòu,
266,一起,yī qǐ,
267,万,wàn,
268,所有,suǒ yǒu,
269,那么,nà me,
270,心,xīn,佛源
271,越,yuè,
272,较,jiào,
273,办法,bàn fǎ,
274,路,lù,
275,有些,yǒu xiē,
276,未,wèi,
277,通过,tōng guò,佛源
278,找,zhǎo,
279,按,àn,
280,拿,ná,
281,解决,jiě jué,
282,一般,yī bān,
283,另,lìng,
284,经,jīng,
285,半,bàn,
286,强,qiáng,
287,或者,huò zhě,
288,时代,shí dài,
289,手,shǒu,
290,作品,zuò pǐn,日源
291,不断,bù duàn,
292,以后,yǐ hòu,
293,关于,guān yú,
294,青年,qīng nián,
295,各种,gè zhǒng,
296,真,zhēn,
297,其他,qí tā,
298,农民,nóng mín,
299,那些,nà xiē,
300,余,yú,
301,段,duàn,
302,有的,yǒu de,
303,买,mǎi,
304,根本,gēn běn,
305,县,xiàn,
306,作者,zuò zhě,
307,者,zhě,
308,请,qǐng,
309,叫,jiào,
310,感到,gǎn dào,
311,怎么,zěn me,
312,任何,rèn hé,
313,六,liù,
314,表现,biǎo xiàn,
315,反,fǎn,
316,存在,cún zài,
317,然而,rán ér,
318,准备,zhǔn bèi,
319,送,sòng,
320,约,yuē,
321,比较,bǐ jiào,
322,书记,shū ji,
323,爱,ài,佛源
324,单位,dān wèi,
325,群众,qún zhòng,
326,应当,yīng dāng,
327,王,wáng,
328,早,zǎo,
329,女,nǚ,
330,门,mén,
331,个人,gè rén,
332,座,zuò,
333,全国,quán guó,
334,意义,yì yì,
335,花,huā,
336,条件,tiáo jiàn,
337,环境,huán jìng,
338,了解,liǎo jiě,
339,搞,gǎo,
340,力量,lì liang,
341,不仅,bù jǐn,
342,目前,mù qián,
343,经验,jīng yàn,
344,产生,chǎn shēng,
345,真正,zhēn zhèng,
346,回,huí,
347,队,duì,
348,有关,yǒu guān,
349,字,zì,
350,会议,huì yì,
351,生命,shēng mìng,
352,今年,jīn nián,
353,努力,nǔ lì,
354,靠,kào,
355,八,bā,
356,市,shì,
357,类,lèi,
358,共,gòng,
359,意见,yì jiàn,
360,死,sǐ,
361,民族,mín zú,
362,块,kuài,
363,只要,zhǐ yào,佛源
364,文学,wén xué,
365,成功,chéng gōng,
366,变化,biàn huà,佛源
367,句,jù,
368,管,guǎn,
369,你们,nǐ men,
370,指,zhǐ,
371,地区,dì qū,
372,方,fāng,
373,和,hé,
374,项,xiàng,
375,注意,zhù yì,
376,当然,dāng rán,
377,达,dá,外来
378,面,miàn,
379,坐,zuò,
380,家庭,jiā tíng,
381,原因,yuán yīn,
382,进入,jìn rù,
383,病,bìng,佛源
384,介绍,jiè shào,
385,下来,xià lai,
386,事情,shì qing,
387,方式,fāng shì,
388,首,shǒu,
389,计划,jì huà,
390,人类,rén lèi,
391,报告,bào gào,
392,世纪,shì jì,
393,方法,fāng fǎ,
394,入,rù,
395,信,xìn,
396,化,huà,
397,步,bù,
398,生,shēng,
399,声,shēng,
400,图,tú,
401,电话,diàn huà,
402,能力,néng lì,
403,片,piàn,
404,作用,zuò yòng,日源
405,台,tái,
406,如此,rú cǐ,
407,困难,kùn nan,
408,多少,duō shǎo,
409,打,dǎ,外来
410,为什么,wèi shén me,
411,随着,suí zhe,
412,谈,tán,
413,支,zhī,
414,村,cūn,
415,米,mǐ,外来
416,农村,nóng cūn,
417,具有,jù yǒu,
418,现代,xiàn dài,
419,全部,quán bù,
420,运动,yùn dòng,日源
421,原,yuán,
422,内容,nèi róng,
423,帮助,bāng zhù,
424,文艺,wén yì,
425,放,fàng,
426,主任,zhǔ rèn,日源
427,别,bié,
428,事业,shì yè,
429,汽车,qì chē,
430,李,lǐ,
431,技术,jì shù,
432,中央,zhōng yāng,日源
433,口,kǒu,
434,跟,gēn,
435,极,jí,
436,记者,jì zhě,
437,只是,zhǐ shì,
438,报,bào,
439,人员,rén yuán,
440,以来,yǐ lái,
441,边,biān,
442,觉得,jué de,
443,您,nín,
444,双,shuāng,
445,左右,zuǒ yòu,
446,建设,jiàn shè,
447,利用,lì yòng,
448,称,chēng,
449,怎样,zěn yàng,
450,行为,xíng wéi,
451,于是,yú shì,
452,朋友,péng yǒu,
453,正是,zhèng shì,
454,受到,shòu dào,
455,人物,rén wù,
456,深,shēn,
457,接受,jiē shòu,
458,来到,lái dào,
459,百,bǎi,
460,这么,zhè me,
461,山,shān,
462,电,diàn,佛源
463,发表,fā biǎo,
464,些,xiē,
465,原来,yuán lái,
466,生产,shēng chǎn,
467,往,wǎng,
468,大学,dà xué,
469,认真,rèn zhēn,
470,过程,guò chéng,
471,有人,yǒu rén,
472,风,fēng,佛源
473,创造,chuàng zào,
474,抓,zhuā,
475,增加,zēng jiā,
476,不过,bù guò,
477,以上,yǐ shàng,
478,七,qī,
479,它们,tā men,
480,南,nán,
481,无法,wú fǎ,
482,时期,shí qī,
483,更加,gèng jiā,
484,传统,chuán tǒng,
485,支持,zhī chí,
486,根据,gēn jù,
487,市场,shì chǎng,
488,包括,bāo kuò,
489,直接,zhí jiē,日源
490,份,fèn,
491,机会,jī huì,
492,政策,zhèng cè,日源
493,科学,kē xué,
494,几乎,jī hū,
495,提高,tí gāo,
496,批,pī,
497,金,jīn,
498,坚持,jiān chí,
499,可是,kě shì,
500,实际,shí jì,佛源
501,完成,wán chéng,
502,引起,yǐn qǐ,
503,代,dài,
504,责任,zé rèn,日源
505,后来,hòu lái,
506,劳动,láo dòng,
507,任务,rèn wu,
508,知识,zhī shi,
509,周,zhōu,
510,部队,bù duì,
511,底,dǐ,
512,部分,bù fen,
513,母亲,mǔ qīn,
514,首先,shǒu xiān,
515,期,qī,
516,保护,bǎo hù,
517,理论,lǐ lùn,佛源
518,形式,xíng shì,
519,医院,yī yuàn,
520,不可,bù kě,
521,云,yún,
522,行动,xíng dòng,
523,仍然,réng rán,
524,处理,chǔ lǐ,
525,远,yuǎn,
526,去年,qù nián,
527,形成,xíng chéng,
528,跑,pǎo,
529,改变,gǎi biàn,
530,那样,nà yàng,
531,香港,xiāng gǎng,
532,相信,xiāng xìn,
533,九,jiǔ,
534,中,zhōng,
535,老师,lǎo shī,
536,新闻,xīn wén,
537,红,hóng,
538,仅,jǐn,
539,地位,dì wèi,
540,除了,chú le,
541,企业,qǐ yè,
542,刚,gāng,
543,加,jiā,
544,终于,zhōng yú,
545,主席,zhǔ xí,日源
546,严重,yán zhòng,
547,容易,róng yì,佛源
548,法律,fǎ lǜ,
549,建立,jiàn lì,
550,还,hái,
551,其实,qí shí,
552,服务,fú wù,
553,意识,yì shí,佛源
554,自由,zì yóu,
555,实现,shí xiàn,
556,着,zhe,
557,那,nà,
558,光,guāng,
559,达到,dá dào,
560,然后,rán hòu,
561,战争,zhàn zhēng,
562,态度,tài du,
563,改革,gǎi gé,
564,不是,bù shì,
565,现实,xiàn shí,佛源
566,种,zhǒng,
567,说明,shuō míng,
568,使用,shǐ yòng,
569,初,chū,
570,回答,huí dá,
571,马,mǎ,
572,共同,gòng tóng,
573,卖,mài,
574,规定,guī dìng,
575,一下,yī xià,
576,管理,guǎn lǐ,
577,越来越,yuè lái yuè,
578,如今,rú jīn,
579,社会主义,shè huì zhǔ yì,
580,年代,nián dài,
581,变成,biàn chéng,
582,中心,zhōng xīn,日源
583,北,běi,
584,东,dōng,
585,父亲,fù qīn,
586,国际,guó jì,
587,高兴,gāo xìng,
588,理解,lǐ jiě,
589,保持,bǎo chí,
590,了,le,
591,当,dāng,
592,选择,xuǎn zé,
593,某,mǒu,
594,心理,xīn lǐ,
595,尽管,jǐn guǎn,
596,气,qì,
597,且,qiě,
598,斗争,dòu zhēng,
599,反对,fǎn duì,
600,创作,chuàng zuò,
601,虽,suī,
602,造成,zào chéng,
603,是否,shì fǒu,
604,下去,xià qù,
605,总是,zǒng shì,
606,派,pài,
607,获得,huò dé,
608,联系,lián xì,
609,之一,zhī yī,
610,也是,yě shì,
611,城,chéng,
612,所谓,suǒ wèi,
613,安排,ān pái,佛源
614,目的,mù dì,
615,伟大,wěi dà,
616,工人,gōng rén,
617,制度,zhì dù,
618,精神,jīng shén,
619,小时,xiǎo shí,
620,似乎,sì hū,
621,篇,piān,
622,制,zhì,
623,没,méi,
624,下午,xià wǔ,
625,算,suàn,
626,乱,luàn,
627,谁,shéi,
628,黑,hēi,
629,尤其,yóu qí,
630,老人,lǎo rén,
631,部门,bù mén,
632,儿,ér,
633,水平,shuǐ píng,
634,按照,àn zhào,
635,机关,jī guān,
636,心里,xīn li,
637,民,mín,
638,离开,lí kāi,
639,身体,shēn tǐ,
640,层,céng,
641,笑,xiào,
642,吗,ma,
643,面前,miàn qián,
644,基础,jī chǔ,
645,树,shù,
646,别人,bié ren,
647,海,hǎi,
648,常,cháng,
649,以前,yǐ qián,
650,军,jūn,
651,读,dú / dòu,
652,性,xìng,佛源
653,价值,jià zhí,
654,套,tào,
655,干,gàn,
656,结束,jié shù,
657,妇女,fù nǚ,
658,教授,jiào shòu,
659,军事,jūn shì,
660,基本,jī běn,
661,儿子,ér zi,
662,西,xī,
663,除,chú,
664,区,qū,
665,改,gǎi,
666,并且,bìng qiě,
667,那里,nà li,
668,均,jūn,
669,画,huà,
670,建,jiàn,
671,满,mǎn,
672,统一,tǒng yī,
673,重新,chóng xīn,
674,方向,fāng xiàng,
675,活,huó,
676,子,zǐ,
677,往往,wǎng wǎng,
678,考虑,kǎo lǜ,
679,重大,zhòng dà,
680,收,shōu,
681,旧,jiù,
682,之中,zhī zhōng,
683,人才,rén cái,佛源
684,总统,zǒng tǒng,
685,感觉,gǎn jué,
686,清,qīng,
687,具体,jù tǐ,
688,式,shì,
689,文章,wén zhāng,
690,现象,xiàn xiàng,
691,立即,lì jí,
692,材料,cái liào,
693,不得,bù dé,
694,定,dìng,佛源
695,证明,zhèng míng,佛源
696,热,rè,
697,年轻,nián qīng,
698,接,jiē,
699,事实,shì shí,
700,白,bái,
701,分别,fēn bié,佛源
702,矛盾,máo dùn,
703,不再,bù zài,
704,积极,jī jí,
705,语言,yǔ yán,
706,千,qiān,
707,巨大,jù dà,
708,节,jié,
709,安全,ān quán,
710,提供,tí gōng,
711,讨论,tǎo lùn,
712,取得,qǔ dé,佛源
713,始终,shǐ zhōng,
